scenario_id,name,category,database,volume,trial,time_ms
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,1,13.777
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,2,4.029
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,3,3.755
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,1,25.953
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,2,24.488
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,3,24.417
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,1,9.039
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,2,7.27
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,3,7.264
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,1,22.494
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,2,20.856
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,3,22.896
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,1,4.456
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,2,3.203
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,3,3.0
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,1,92.64
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,2,90.623
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,3,89.06
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,1,1.23
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,2,0.609
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,3,0.56
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,1,12.288
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,2,11.205
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,3,10.171
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,1,5.934
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,2,5.915
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,3,5.619
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,1,0.888
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,2,0.643
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,3,0.628
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,1,1.976
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,2,2.204
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,3,2.135
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,1,0.933
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,2,0.692
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,3,0.627
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,1,3.066
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,2,3.132
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,3,3.024
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,1,2.977
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,2,3.512
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,3,3.476
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,postgres,small,1,4.668
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,postgres,small,2,5.026
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,postgres,small,3,5.08
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,postgres,small,1,2.724
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,postgres,small,2,3.085
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,postgres,small,3,3.109
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,postgres,small,1,2.765
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,postgres,small,2,3.292
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,postgres,small,3,3.096
U6,Masowa aktualizacja popularity_score (formula),UPDATE,postgres,small,1,5.84
U6,Masowa aktualizacja popularity_score (formula),UPDATE,postgres,small,2,6.004
U6,Masowa aktualizacja popularity_score (formula),UPDATE,postgres,small,3,5.756
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,postgres,small,1,15.928
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,postgres,small,2,15.853
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,postgres,small,3,16.05
D2,Usuniecie profilu z historia (CASCADE),DELETE,postgres,small,1,4.023
D2,Usuniecie profilu z historia (CASCADE),DELETE,postgres,small,2,3.991
D2,Usuniecie profilu z historia (CASCADE),DELETE,postgres,small,3,4.055
D3,Czyszczenie starej historii ogladania,DELETE,postgres,small,1,3.887
D3,Czyszczenie starej historii ogladania,DELETE,postgres,small,2,4.058
D3,Czyszczenie starej historii ogladania,DELETE,postgres,small,3,3.788
D4,Usuniecie pozycji z my_list,DELETE,postgres,small,1,2.065
D4,Usuniecie pozycji z my_list,DELETE,postgres,small,2,2.103
D4,Usuniecie pozycji z my_list,DELETE,postgres,small,3,2.162
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,postgres,small,1,3.934
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,postgres,small,2,3.881
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,postgres,small,3,2.189
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,postgres,small,1,9.996
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,postgres,small,2,10.066
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,postgres,small,3,10.06
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,1,13.659
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,2,12.025
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,3,11.904
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,1,21.427
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,2,67.28
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,3,71.645
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,1,15.366
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,2,15.598
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,3,15.368
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,1,72.422
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,2,90.15
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,3,78.48
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,1,9.443
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,2,10.975
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,3,11.936
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,1,12.684
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,2,12.549
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,3,17.026
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,1,1.009
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,2,0.948
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,3,0.886
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,1,3.674
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,2,3.514
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,3,2.79
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,1,7.728
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,2,7.47
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,3,7.808
S4,Wyszukiwanie pelnotekstowe po tytule (LIKE),SELECT,mysql,small,1,0.667
